Mining_pool,Known_Server_Location,CO2e/GWh(Tons),Carbon/GWh(Tons),Mining_pool_website
1Hash,China,661.73,180.4554131,http://www.1hash.com/
AntPool,China,661.73,180.4554131,https://antpool.com
BATPOOL,China,661.73,180.4554131,https://www.batpool.com/
BCMonster,"U.S., China",580.04,158.1783474,http://www.bcmonster.com/
BitClub Network,U.S.,498.34,135.8985547,https://bitclubnetwork.com
Bitcoin.com,Global,573.86,156.4930461,https://pool.bitcoin.com
Bitfury,"Georgia, Finland, Iceland",132.6,36.16034906,http://www.bitfury.org/
BitMinter,"U.S., E.U.",414.46,113.0242705,https://bitminter.com
BTC.com,China,661.73,180.4554131,https://pool.btc.com
BTC.TOP,China,661.73,180.4554131,http://btc.top/
BTCC,China,661.73,180.4554131,https://pool.btcc.com/
BW Pool,China,661.73,180.4554131,https://www.bw.com
Canoe Pool,U.S.,498.34,135.8985547,https://www.canoepool.com
ConnectBTC,China,661.73,180.4554131,https://www.connectbtc.com/#
DiscusFish / F2Pool,"U.S., China",580.04,158.1783474,http://www.f2pool.com
Eligius,U.S.,498.34,135.8985547,http://eligius.st
EXX & BW,China,661.73,180.4554131,https://xbtc.exx.com/
GBMiners,India,706.44,192.6479411,http://52.66.51.105/
GoGreenLight,Sweden,60.32,16.44941369,http://www.gogreenlight.se/
HaoBTC,China,661.73,180.4554131,https://haobtc.com/
Kano CKPool,Global,573.86,156.4930461,http://www.kano.is
MMPool,Global,573.86,156.4930461,http://mmpool.org
NA,Global,573.86,156.4930461,ForBlocksWithNoCompany
NiceHashSolo,Global,573.86,156.4930461,https://solo.nicehash.com/
P2Pool.org,Global,573.86,156.4930461,http://p2pool.org
Slush,Global,573.86,156.4930461,https://mining.bitcoin.cz
Solo CKPool,Global,573.86,156.4930461,http://solo.ckpool.org
Telco 214,U.S.,498.34,135.8985547,http:///www.telco214.com/
ViaBTC,China,661.73,180.4554131,http://www.viabtc.com/
