Mining_Hardware,Hash_Rate(Ghash/s),Consumption(GWh),Energy_Efficiency(Mhash/J),Reference
AntMiner S1,180,0.00000036,500,"[2, 8]"
AntMiner S2,1000,0.0000011,909,"[2, 8]"
AntMiner S3,441,0.00000034,1297,"[2, 8]"
AntMiner S4,2000,0.0000014,1429,"[2, 8]"
AntMiner S5,1160,0.00000059,1966,"[2, 8]"
AntMiner S5+,7720,0.000003436,2247,"[2, 8]"
AntMiner S7,4730,0.00000121,3909,"[2, 9]"
AntMiner S9,14000,0.000001375,10448,"[1, 2]"
Antminer T9+,10500,0.000001332,7332,"[6, 8]"
AntMiner R4,8700,0.000000845,10296,"[7, 8]"
Avalon Batch 1,66,0.00000062,106,"[2, 8]"
Avalon Batch 2,82,0.0000007,117,"[2, 8]"
Avalon Batch 3,82,0.0000007,117,"[2, 8]"
Avalon6,3500,0.00000108,3241,"[2, 9] "
Avalon 721,6000,0.000001,6000,"[2, 5]"
Avalon741,7300,0.00000115,6348,"[2, 5]"
Avalon761,8800,0.00000132,6667,"[2, 7]"
Avalon821,11000,0.0000012,9167,"[2, 8]"
BFL SC 5 Gh/s,5,0.00000003,167,"[2, 8]"
BFL SC 25Gh/s,25,0.00000015,167,"[2, 8]"
BFL SC 50 Gh/s,50,0.0000003,167,"[2, 8]"
BFL Single 'SC',60,0.00000024,250,"[2, 8]"
BFL 500 GH/s Mini Rig SC,500,0.0000027,185,"[2, 8]"
BFL Monarch 700 GH/s,700,0.00000049,1429,"[2, 8]"
Bitmine Avalon Clone 85 GH,85,0.00000065,131,"[2, 8, 12]"
Black Arrow Prospero X-1,100,0.0000001,1000,"[2, 8]"
Black Arrow Prospero X-3,2000,0.000002,1000,"[2, 8]"
BTC Garden AM-V1 310 GH/s,310,0.000000324,957,"[2, 13]"
CoinTerra TerraMiner IV,1600,0.0000021,762,"[2, 8, 12] "
Ebit E9,6300,0.000000882,7143,"[2, 5]"
Ebit E9+,9000,0.0000013,6923,"[2, 8]"
Ebit E9++,14000,0.00000133,10526,"[2, 8]"
Ebit E10,18000,0.00000162,11111,"[2, 8]"
HashBuster Micro,20,0.000000023,870,"[2, 8]"
HashFast Baby Jet,400,0.00000044,909,"[2, 8]"
HashFast Sierra,1200,0.00000132,909,"[2, 8]"
HashFast Sierra Evo 3,2000,0.0000022,909,"[2, 11]"
Klondike,5,0.000000032,156,"[2, 8]"
KnCMiner Mercury,100,0.00000025,400,"[2, 8, 12]"
KnC Saturn,250,0.0000003,833,"[2, 8]"
KnC Jupiter,500,0.0000006,833,"[2, 8]"
KnC Neptune,3000,0.0000021,1429,"[2, 13]"
Metabank,120,0.00000017,706,"[2, 8]"
NanoFury NF2,4,0.000000005,800,"[2, 8]"
BPMC Red Fury USB,2.5,2.50E-09,1000,"[2, 8]"
ROCKMINER R3-BOX,450,0.00000045,1000,"[2, 8]"
ROCKMINER R4-BOX,470,0.00000047,1000,"[2, 8]"
ROCKMINER Rocket BOX,450,0.00000048,938,"[2, 8]"
ROCKMINER R-BOX,32,0.000000045,711,"[2, 8]"
ROCKMINER R-BOX110G,110,0.00000012,917,"[2, 8]"
ROCKMINER T1 800G,800,0.000001,800,"[2, 8]"
Spondooliestech SP10 ,1400,0.00000125,1120,"[2, 8]"
Spondooliestech SP20,1700,0.0000011,1545,"[2, 11]"
Spondooliestech SP30,4500,0.000003,1500,"[2, 8]"
Spondooliestech SP31,4900,0.000003,1633,"[2, 8]"
Spondooliestech SP35 ,5500,0.00000365,1507,"[2, 8]"
TerraHash Klondike 16,5,0.000000032,156,"[2, 8]"
TerraHash Klondike 64,18,0.000000127,142,"[2, 8]"
TerraHash DX Mini (full),90,0.00000064,141,"[2, 8]"
TerraHash DX Large (full),180,0.00000128,141,"[2, 8]"
Twinfury,5,3.83E-09,1305,"[2, 8]"
WhatsMiner M3,12500,0.0000022,5682,"[4, 2]"
